{'avg': 120.40000000000001, 'std': 23.153401477968632, 'min': 103.0, 'max': 172.0}
{'avg': 119.76000000000001, 'std': 22.33970456384775, 'min': 103.0, 'max': 167.0}
{'avg': 118.48, 'std': 21.081024643029096, 'min': 103.0, 'max': 167.0}
{'avg': 114.56, 'std': 19.018054579793382, 'min': 103.0, 'max': 168.0}
{'avg': 120.36, 'std': 22.447948681338346, 'min': 103.0, 'max': 171.0}
{'avg': 121.68000000000001, 'std': 24.476470333771577, 'min': 103.0, 'max': 170.0}
{'avg': 122.48, 'std': 25.208125674075809, 'min': 103.0, 'max': 179.0}
{'avg': 122.16, 'std': 21.851645246983121, 'min': 101.0, 'max': 168.0}
{'avg': 125.68000000000001, 'std': 28.261238472508595, 'min': 101.0, 'max': 180.0}
{'avg': 119.2, 'std': 23.474241201793937, 'min': 101.0, 'max': 171.0}
{'avg': 123.2, 'std': 24.800000000000001, 'min': 101.0, 'max': 174.0}
{'avg': 115.52, 'std': 24.15470140573052, 'min': 101.0, 'max': 179.0}
{'avg': 109.44, 'std': 14.33061059410938, 'min': 101.0, 'max': 152.0}
{'avg': 121.48, 'std': 24.558697033841192, 'min': 101.0, 'max': 168.0}
{'avg': 115.56, 'std': 19.214744338658267, 'min': 101.0, 'max': 156.0}
{'avg': 121.08, 'std': 23.876214105255464, 'min': 101.0, 'max': 172.0}
{'avg': 111.52, 'std': 21.369361244548234, 'min': 101.0, 'max': 161.0}
{'avg': 124.76000000000001, 'std': 27.85574267543409, 'min': 101.0, 'max': 183.0}
{'avg': 124.04000000000001, 'std': 22.704149400495055, 'min': 101.0, 'max': 174.0}
{'avg': 124.95999999999999, 'std': 25.078245552669749, 'min': 101.0, 'max': 169.0}
{'avg': 125.36, 'std': 23.692834359780594, 'min': 101.0, 'max': 183.0}
{'avg': 121.0, 'std': 23.339237348293967, 'min': 101.0, 'max': 176.0}
{'avg': 118.40000000000001, 'std': 22.150395030337496, 'min': 101.0, 'max': 163.0}
{'avg': 112.12, 'std': 17.587086171392915, 'min': 101.0, 'max': 164.0}
{'avg': 120.04000000000001, 'std': 24.38930913330675, 'min': 101.0, 'max': 166.0}
{'avg': 121.0, 'std': 26.451464987784703, 'min': 101.0, 'max': 187.0}
{'avg': 123.40000000000001, 'std': 24.099792530227308, 'min': 101.0, 'max': 163.0}
{'avg': 117.28, 'std': 27.689015872724692, 'min': 101.0, 'max': 188.0}
{'avg': 112.48, 'std': 18.764050735382273, 'min': 101.0, 'max': 163.0}
{'avg': 113.68000000000001, 'std': 23.126988563148469, 'min': 101.0, 'max': 173.0}
{'avg': 110.92, 'std': 19.804888285471343, 'min': 101.0, 'max': 173.0}
{'avg': 114.23999999999999, 'std': 23.490048956951963, 'min': 101.0, 'max': 172.0}
{'avg': 108.59999999999999, 'std': 12.149074038789951, 'min': 101.0, 'max': 154.0}
{'avg': 130.36000000000001, 'std': 30.168699010729647, 'min': 101.0, 'max': 184.0}
{'avg': 127.68000000000001, 'std': 26.151435907039595, 'min': 101.0, 'max': 178.0}
{'avg': 122.64, 'std': 25.007007018033967, 'min': 101.0, 'max': 170.0}
{'avg': 123.44, 'std': 27.447520835222988, 'min': 101.0, 'max': 183.0}
{'avg': 119.12, 'std': 22.226686662658473, 'min': 101.0, 'max': 170.0}
{'avg': 118.76000000000001, 'std': 23.136603035017913, 'min': 101.0, 'max': 173.0}
{'avg': 126.48, 'std': 27.588577346430899, 'min': 101.0, 'max': 181.0}
{'avg': 119.48, 'std': 21.431042905094472, 'min': 101.0, 'max': 171.0}
{'avg': 111.31999999999999, 'std': 15.356353733878366, 'min': 101.0, 'max': 153.0}
{'avg': 117.95999999999999, 'std': 20.492886570710336, 'min': 101.0, 'max': 158.0}
{'avg': 113.40000000000001, 'std': 21.130073355291504, 'min': 101.0, 'max': 176.0}
{'avg': 137.12, 'std': 23.171223532649286, 'min': 102.0, 'max': 184.0}
{'avg': 148.68000000000001, 'std': 25.624550727768867, 'min': 91.0, 'max': 184.0}
{'avg': 151.12, 'std': 18.855916843261692, 'min': 103.0, 'max': 182.0}
{'avg': 148.56, 'std': 21.655632061890966, 'min': 103.0, 'max': 182.0}
{'avg': 184.31999999999999, 'std': 68.179011433138271, 'min': 103.0, 'max': 300.0}
{'avg': 210.44, 'std': 75.631252799355366, 'min': 103.0, 'max': 300.0}
{'avg': 207.56, 'std': 76.370193138422792, 'min': 117.0, 'max': 300.0}
{'avg': 203.56, 'std': 74.05785846215106, 'min': 112.0, 'max': 300.0}
{'avg': 189.47999999999999, 'std': 71.075801789357257, 'min': 112.0, 'max': 300.0}
{'avg': 141.68000000000001, 'std': 24.325657236753134, 'min': 76.0, 'max': 177.0}
{'avg': 144.96000000000001, 'std': 27.894773704047143, 'min': 76.0, 'max': 177.0}
{'avg': 161.03999999999999, 'std': 12.304405715027443, 'min': 141.0, 'max': 177.0}
{'avg': 159.75999999999999, 'std': 12.797749802211325, 'min': 141.0, 'max': 182.0}
{'avg': 159.03999999999999, 'std': 11.721706360423811, 'min': 133.0, 'max': 181.0}
{'avg': 161.36000000000001, 'std': 10.84759881264052, 'min': 141.0, 'max': 181.0}
{'avg': 158.84, 'std': 12.272505856588539, 'min': 141.0, 'max': 181.0}
{'avg': 158.03999999999999, 'std': 13.724372481100911, 'min': 141.0, 'max': 181.0}
{'avg': 156.91999999999999, 'std': 14.248985928830162, 'min': 127.0, 'max': 177.0}
{'avg': 160.88, 'std': 12.215793056531369, 'min': 141.0, 'max': 186.0}
{'avg': 163.28, 'std': 11.315546827263805, 'min': 141.0, 'max': 186.0}
